timestamp,co_m,eth_m,voc_m,no2,c2h50h_gm,voc_gm,co_gm
35300,18.04,21.63,6.66,0.75,0.67,0.25,0.06
35400,16.47,19.21,6.01,0.75,0.67,0.25,0.06
35500,16.47,19.21,6.01,0.75,0.67,0.25,0.06
35600,16.99,20.00,6.23,0.75,0.67,0.25,0.06
35700,16.99,20.00,6.23,0.75,0.67,0.25,0.06
35800,16.47,19.21,6.01,0.75,0.67,0.25,0.06
35900,17.51,20.81,6.44,0.75,0.68,0.24,0.06
36000,18.04,21.63,6.66,0.74,0.67,0.24,0.06
36100,17.51,20.81,6.44,0.74,0.67,0.24,0.06
36200,16.99,20.00,6.23,0.74,0.67,0.24,0.06
36300,17.51,20.81,6.44,0.74,0.67,0.24,0.06
36400,16.47,19.21,6.01,0.74,0.67,0.24,0.06
36500,16.47,19.21,6.01,0.74,0.67,0.24,0.06
36600,16.47,19.21,6.01,0.74,0.67,0.24,0.06
36700,16.99,20.00,6.23,0.74,0.67,0.24,0.06
36800,18.57,22.46,6.88,0.74,0.67,0.24,0.06
36900,16.99,20.00,6.23,0.74,0.67,0.24,0.06
37000,18.57,22.46,6.88,0.74,0.67,0.24,0.06
37100,17.51,20.81,6.44,0.74,0.67,0.23,0.06
37200,16.47,19.21,6.01,0.74,0.67,0.23,0.06
37300,16.99,20.00,6.23,0.74,0.67,0.23,0.06
37400,16.99,20.00,6.23,0.74,0.67,0.23,0.06
37500,15.96,18.43,5.80,0.74,0.67,0.23,0.06
37600,16.47,19.21,6.01,0.74,0.67,0.23,0.06
37700,16.99,20.00,6.23,0.74,0.67,0.23,0.06
37800,16.47,19.21,6.01,0.74,0.67,0.23,0.06
37900,16.47,19.21,6.01,0.74,0.67,0.23,0.06
38000,15.96,18.43,5.80,0.74,0.67,0.23,0.06
38100,15.96,18.43,5.80,0.74,0.67,0.23,0.06
38200,15.96,18.43,5.80,0.74,0.67,0.23,0.06
38300,16.47,19.21,6.01,0.74,0.67,0.23,0.06
38400,16.47,19.21,6.01,0.74,0.67,0.23,0.06
38500,16.99,20.00,6.23,0.74,0.67,0.23,0.06
38600,16.99,20.00,6.23,0.74,0.67,0.23,0.06
38700,15.96,18.43,5.80,0.74,0.67,0.23,0.06
38800,16.47,19.21,6.01,0.74,0.67,0.23,0.06
38900,17.51,20.81,6.44,0.74,0.67,0.23,0.06
39000,17.51,20.81,6.44,0.74,0.67,0.23,0.06
39100,16.47,19.21,6.01,0.74,0.67,0.23,0.06
39200,15.45,17.66,5.59,0.74,0.67,0.23,0.06
39300,15.45,17.66,5.59,0.74,0.67,0.23,0.06
39400,16.47,19.21,6.01,0.74,0.67,0.23,0.06
39500,15.45,17.66,5.59,0.74,0.67,0.23,0.06
39600,15.45,17.66,5.59,0.74,0.67,0.23,0.06
39700,16.99,20.00,6.23,0.74,0.67,0.23,0.06
39800,15.45,17.66,5.59,0.74,0.67,0.23,0.06
39900,15.45,17.66,5.59,0.74,0.67,0.23,0.06
40000,16.99,20.00,6.23,0.74,0.67,0.23,0.06
40100,16.47,19.21,6.01,0.74,0.67,0.23,0.06
40200,16.47,19.21,6.01,0.74,0.67,0.23,0.06
40300,15.45,17.66,5.59,0.74,0.67,0.23,0.06
40400,15.96,18.43,5.80,0.74,0.67,0.23,0.06
40500,16.47,19.21,6.01,0.74,0.67,0.23,0.06
40600,15.96,18.43,5.80,0.74,0.67,0.23,0.06
40700,16.99,20.00,6.23,0.74,0.67,0.23,0.06
40800,15.96,18.43,5.80,0.74,0.67,0.23,0.06
40900,15.45,17.66,5.59,0.74,0.67,0.23,0.06
41000,15.96,18.43,5.80,0.74,0.67,0.23,0.06
41100,15.96,18.43,5.80,0.74,0.67,0.23,0.06
41200,14.94,16.90,5.38,0.74,0.67,0.23,0.06
41300,15.45,17.66,5.59,0.74,0.67,0.23,0.06
41400,15.96,18.43,5.80,0.74,0.67,0.23,0.06
41500,15.45,17.66,5.59,0.74,0.67,0.23,0.06
41600,14.94,16.90,5.38,0.74,0.67,0.23,0.06
41700,16.47,19.21,6.01,0.74,0.67,0.23,0.06
41800,15.45,17.66,5.59,0.74,0.67,0.23,0.06
41900,15.45,17.66,5.59,0.74,0.67,0.23,0.06
42000,14.94,16.90,5.38,0.74,0.67,0.23,0.06
42100,14.94,16.90,5.38,0.74,0.67,0.23,0.06
